,title,runtime
0,1. The Shawshank Redemption (1994),142 min
1,2. The Godfather (1972),175 min
2,3. The Dark Knight (2008),152 min
3,4. Schindler's List (1993),195 min
4,5. 12 Angry Men (1957),96 min
5,6. The Godfather Part II (1974),202 min
6,7. The Lord of the Rings: The Return of the King (2003),201 min
7,8. Pulp Fiction (1994),154 min
8,9. Spider-Man: Across the Spider-Verse (2023),140 min
9,10. Inception (2010),148 min
10,11. The Lord of the Rings: The Fellowship of the Ring (2001),178 min
11,12. Fight Club (1999),139 min
12,13. Forrest Gump (1994),142 min
13,"14. The Good, the Bad and the Ugly (1966)",178 min
14,15. The Lord of the Rings: The Two Towers (2002),179 min
15,16. Interstellar (2014),169 min
16,17. Goodfellas (1990),145 min
17,18. The Matrix (1999),136 min
18,19. One Flew Over the Cuckoo's Nest (1975),133 min
19,20. Star Wars: Episode V - The Empire Strikes Back (1980),124 min
20,21. Oppenheimer (2023),180 min
21,22. The Silence of the Lambs (1991),118 min
22,23. Se7en (1995),127 min
23,24. Saving Private Ryan (1998),169 min
24,25. Terminator 2: Judgment Day (1991),137 min
25,26. The Green Mile (1999),189 min
26,27. Star Wars: Episode IV - A New Hope (1977),121 min
27,28. City of God (2002),130 min
28,29. Spirited Away (2001),125 min
29,30. Life Is Beautiful (1997),116 min
30,31. It's a Wonderful Life (1946),130 min
31,32. Seven Samurai (1954),207 min
32,33. Harakiri (1962),133 min
33,34. The Prestige (2006),130 min
34,35. Back to the Future (1985),116 min
35,36. The Departed (2006),151 min
36,37. Alien (1979),117 min
37,38. Parasite (2019),132 min
38,39. Gladiator (2000),155 min
39,40. Whiplash (2014),106 min
40,41. L̩on: The Professional (1994),110 min
41,42. The Pianist (2002),150 min
42,43. The Usual Suspects (1995),106 min
43,44. The Lion King (1994),88 min
44,45. American History X (1998),119 min
45,46. Psycho (1960),109 min
46,47. Grave of the Fireflies (1988),89 min
47,48. The Intouchables (2011),112 min
48,49. Casablanca (1942),102 min
49,50. Once Upon a Time in the West (1968),165 min
